COMP_ID,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,PLATFORM,RI,MASS,CAS,PUBCHEM,KEGG,                                      Group HMDB,LST.003.pre,LST.014.pre,LST.016.pre,LST.019.pre,LST.012.pre,LST.021.pre,LST.026.pre,STS.007.pre,LST.013.pre,LST.017.pre,LST.018.pre,LST.020.pre,LST.022.pre,STS.009.pre,LST.003.post,LST.014.post,LST.016.post,LST.019.post,LST.012.post,LST.021.post,LST.026.post,STS.007.post,LST.013.post,LST.017.post,LST.018.post,LST.020.post,LST.022.post,STS.009.post
33230,1-palmitoleoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5524,494.3,,,,,1.301566,0.637841,1.797999,0.740419,0.559335,1.452146,1.109625,0.557677,0.99635,0.710072,0.684247,0.956903,1.11787,1.430213,1.221997,0.713355,1.816817,0.721886,1.00365,1.72243,0.649243,1.005953,1.007149,0.763902,1.567502,0.918023,1.439031,1.538509
33955,1-palmitoylglycerophosphocholine,Lipid,Lysolipid,LC/MS Pos,5671,496.4,17364-16-8;,86554,,,1.166982,0.995299,1.205363,0.824488,0.765352,1.276338,1.195941,1.248829,1.042851,0.915451,0.669951,1.142292,0.921516,1.312642,0.787051,0.935131,1.507078,0.844256,1.062798,1.97324,0.735071,0.995025,0.937921,1.004701,0.863798,2.000089,1.171012,1.239126
35631,1-palmitoylglycerophosphoethanolamine,Lipid,Lysolipid,LC/MS Neg,5940,452.3,,9547069,,HMDB11503,0.61315,1.388105,1.344875,0.783598,0.422251,1.53354,0.815968,1.113143,1.770105,1.144812,0.866207,1.087805,0.745173,1.503044,0.945188,1.114234,0.900459,0.666867,0.612604,0.999108,1.000892,1.047524,1.311508,0.724591,1.037896,0.752661,1.014947,1.776671
39270,1-palmitoylplasmenylethanolamine*,Lipid,Lysolipid,LC/MS Neg,6153,436.4,,,,,1.050715,0.704651,1.037961,1.063622,0.459659,0.92339,0.459659,1.730591,1.252288,0.86626,0.473392,1.337214,0.459659,1.984419,0.793117,0.517798,0.459659,1.031294,0.587036,0.459659,0.666478,1.881762,0.968706,0.726941,0.819751,1.184327,0.64682,3.590389
37418,1-pentadecanoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5563,482.3,,,,,1.494876,0.976869,0.626115,0.267141,0.613028,1.108871,1.336483,0.516224,0.888165,0.865284,1.151713,1.424629,0.821043,1.421436,1.253493,1.683956,1.185055,0.557492,1.047602,1.40219,0.524902,0.682107,1.041176,0.749018,1,0.990506,1.248621,1.208883
33961,1-stearoylglycerophosphocholine,Lipid,Lysolipid,LC/MS Pos,5844,524.4,19420-57-6;,497299,,,3.484402,0.649269,1.199297,0.755401,2.350982,1.498731,1.071806,1.922251,1.036677,0.697802,0.33897,1.075146,0.80137,7.368599,0.562129,0.940906,1.60773,0.90255,0.771238,7.27865,0.410674,1.654402,0.675307,0.963323,0.583605,12.009901,1.448476,1.500431
34416,1-stearoylglycerophosphoethanolamine,Lipid,Lysolipid,LC/MS Neg,6200,480.4,69747-55-3;,9547068,,HMDB11130,0.61685,0.877141,1.035353,0.914532,0.717732,1.584129,0.743827,1.737877,1.505981,1.006034,0.638575,1.261953,0.651647,2.157819,0.676278,0.67419,1.109805,1.012965,0.685661,1.110919,1.120069,1.483973,1.146525,0.906922,0.826662,0.993966,0.990188,2.316109
19324,1-stearoylglycerophosphoinositol,Lipid,Lysolipid,LC/MS Neg,5800,599.4,,,,,1.146752,1.215673,0.725571,0.653809,1.200044,1.26178,0.913351,0.999577,1.000423,0.742374,0.675474,1.14229,1.028614,0.69552,0.922841,0.885768,0.653809,1.314514,1.00336,1.03724,1.357699,0.7165,0.953075,1.256041,0.812108,0.653809,0.711288,1.876132
33971,10-heptadecenoate (17:1n7),Lipid,Long chain fatty acid,LC/MS Neg,5558,267.3,29743-97-3;,5312435,,,1.300521,0.530139,0.587023,0.859374,1.413318,1.019885,0.980115,0.679864,1.893025,0.422491,0.617635,0.487095,1.456778,0.671368,0.941794,1.064043,2.292415,2.114349,1.031631,1.30745,1.581301,0.531209,1.149567,1.534169,1.105463,0.681603,0.488712,1.50817
33972,10-nonadecenoate (19:1n9),Lipid,Long chain fatty acid,LC/MS Neg,5775,295.4,73033-09-7;,5312513,,,1.074501,0.417906,0.504048,0.767536,1.73065,0.900651,1.200832,0.621784,1.990267,0.182279,0.572572,0.342657,1.610538,0.400751,0.925499,1.386526,2.837481,2.617854,1.225752,1.102106,1.451209,0.459795,1.374932,1.542666,1.883956,0.663413,0.23982,1.187563
38296,17-methylstearate,Lipid,"Fatty acid, branched",LC/MS Neg,5987,297.4,2724-59-6;,3083779,,,0.639482,0.509918,0.778789,0.943689,1.211349,0.98112,1.485962,1.123886,1.191232,0.449153,1.089011,0.707328,0.999308,0.829489,0.905432,1.15958,2.405712,1.300719,1.19748,0.449153,1.600814,0.465429,1.099497,1.321357,1.431091,0.824601,0.583102,1.399429
32309,2-aminobutyrate,Amino acid,Butanoate metabolism,GC/MS,1537.5,246.2,1492-24-6;,4.40E+12,C02261,HMDB00650,1.351336,0.778451,1.171807,1.377063,1.670928,1.145774,0.853129,0.614788,0.786862,1.267607,0.691952,1.603065,0.991285,0.930763,1.061127,0.862443,1.235358,1.498428,1.553798,0.967812,0.691952,0.545962,0.716934,0.903191,0.48221,1.527541,1.181056,1.175355
35256,2-arachidonoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5524,544.3,,,,,0.430664,0.279492,0.478629,0.408013,0.431833,0.486744,0.632985,2.049066,2.604061,0.474353,1.485943,3.013963,2.583094,0.466142,2.324745,1.273897,0.589187,0.48764,2.211376,4.700978,1.883156,3.00001,2.679522,0.575734,2.94576,1.983166,2.84553,0.513644
32815,2-arachidonoylglycerophosphoethanolamine*,Lipid,Lysolipid,LC/MS Neg,5674,500.3,,,,,0.238461,0.670163,0.907883,1,0.238461,0.601238,1.19006,1.907648,0.238461,0.238461,0.676711,1.331949,0.238461,1.424021,0.723578,1.052085,0.908331,1.557526,0.743874,0.818729,1.719539,1.661978,0.777828,1.258469,1.530568,1.280271,0.864449,0.775087
33173,2-hydroxyacetaminophen sulfate*,Xenobiotics,Drug,LC/MS Neg,1703,246.1,,,,,0.164764,0.164764,0.164764,1,0.164764,1.112418,0.164764,0.164764,0.164764,0.164764,0.164764,0.164764,1.486983,0.164764,0.164764,0.164764,0.164764,0.455901,0.164764,6.503038,0.164764,0.164764,0.164764,0.164764,0.164764,0.164764,0.879305,0.164764
21044,2-hydroxybutyrate (AHB),Amino acid,"Cysteine, methionine, SAM, taurine metabolism",GC/MS,1169.4,130.9,3347-90-8;,440864,C05984,HMDB00008,0.668962,0.567472,0.905111,1.744887,1.723685,1.310206,1.393261,0.592841,0.563711,0.73323,0.678111,0.817086,1.09186,0.984947,0.911587,1.221407,1.379344,2.480234,2.152063,1.154486,1.220553,0.749055,0.46335,1.390558,1.115269,1.015053,0.895431,1.147358
37253,2-hydroxyglutarate,Lipid,"Fatty acid, dicarboxylate",GC/MS,1576,247,40951-21-1;,43,C02630,HMDB00606,0.412824,0.847769,1.254111,1.092857,0.672157,0.776774,0.872676,1.136503,0.565422,0.529701,1.490808,1.032075,1.134436,1.337745,0.967925,0.338345,0.338345,0.33978,0.782658,0.852676,1.043632,1.827871,0.634458,1.085703,1.592079,0.691341,0.338345,2.294556
22030,2-hydroxyisobutyrate,Amino acid,"Valine, leucine and isoleucine metabolism",GC/MS,1107.5,130.9,594-61-6;,11671,,HMDB00729,1.242963,1.206949,1.400189,0.793119,1.084792,1.387081,0.819846,0.624397,0.795249,0.725647,0.996505,1.660056,1.332742,0.814259,0.785784,0.917092,1.212747,1.003495,1.094323,1.198826,0.907322,0.691879,1.018209,0.728454,0.977209,1.532361,1.140802,1.068206
35675,2-hydroxypalmitate,Lipid,"Fatty acid, monohydroxy",LC/MS Neg,5508,271.3,764-67-0;,92836,,,0.703049,0.688857,1.314697,1.114488,0.812675,1.243734,1.192685,1.018225,1.156896,0.892153,0.638757,1.079298,0.637783,0.847947,0.702495,0.813499,1.481765,1.19809,0.961181,1.043068,1.36879,0.803566,0.746173,1.059915,0.759994,1.203767,0.630696,1.163487
17945,2-hydroxystearate,Lipid,"Fatty acid, monohydroxy",LC/MS Neg,5705,299.4,629-22-1;,69417,C03045,,0.86814,0.879564,1.030849,0.997941,1.179557,1.767667,0.893907,1.399355,0.911448,0.826167,0.837007,1.055995,0.679156,1.154839,0.888909,0.777501,1.834538,1.172531,0.798758,1.052428,1.433271,1.002059,0.646702,0.717235,0.751912,1.04592,0.939437,1.786223
38087,2-linoleoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Neg,5772,594,,,,,0.504464,0.799816,1.57803,1.107786,0.334321,1.117368,0.540826,2.022593,1.134621,1.078249,0.616083,2.075507,0.723542,1.088146,0.533174,0.820305,1.228281,1.048944,0.497161,0.804515,1.100673,0.997742,1.006284,0.681674,1.002258,1.735256,0.854601,1.273599
36593,2-linoleoylglycerophosphoethanolamine*,Lipid,Lysolipid,LC/MS Neg,5650,476.4,,,,,0.405854,0.747958,1.416115,0.405854,0.405854,0.484814,0.916843,2.101395,0.980736,0.817036,0.874354,1.637736,0.405854,1.658372,0.511889,0.881452,1.019264,1.142678,0.694292,0.690699,1.728281,3.252264,1.048669,0.946153,1.823255,1.764324,1.056955,0.780417
33161,2-methoxyacetaminophen glucuronide*,Xenobiotics,Drug,LC/MS Pos,2069,375,,,,,0.600466,0.600466,0.600466,0.982452,0.600466,0.830947,0.600466,0.600466,0.600466,0.600466,0.600466,0.600466,2.312131,0.600466,0.600466,0.600466,0.600466,0.600466,0.600466,6.647085,0.600466,0.600466,0.600466,0.600466,0.600466,0.600466,1.017548,0.600466
33178,2-methoxyacetaminophen sulfate*,Xenobiotics,Drug,LC/MS Neg,1977,260.1,,,,,0.419933,0.419933,0.419933,0.804792,0.419933,1.195208,0.419933,0.419933,0.419933,0.419933,0.419933,0.419933,1.400071,0.419933,0.419933,0.419933,0.419933,0.419933,0.419933,11.083895,0.419933,0.419933,0.419933,0.419933,0.419933,0.419933,0.653551,0.419933
35431,2-methylbutyroylcarnitine,Amino acid,"Valine, leucine and isoleucine metabolism",LC/MS Pos,2439,246.1,31023-25-3;,6426901,,HMDB00378,1.0615,1.370462,1.144711,0.293696,0.993999,1,1.027377,0.916099,0.477309,0.293696,1.033868,1.05152,1.04185,1.669724,1.284825,0.293696,0.845438,0.431133,0.735214,0.972384,1.005571,0.88099,0.84582,1.02887,0.925295,0.932447,0.832006,0.293696
35254,2-oleoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5640,522.4,,,,,0.985299,0.56929,1.793901,0.820958,0.669918,0.839038,1.022328,0.56929,1.176237,0.920834,0.56929,0.56929,0.56929,1.375087,0.733625,1.014701,1.658898,0.680513,0.56929,0.56929,0.649972,1.245655,0.56929,0.56929,1.251942,0.56929,1.143385,1.290669
35687,2-oleoylglycerophosphoethanolamine*,Lipid,Lysolipid,LC/MS Neg,5848,478.3,,,,,0.333943,0.920727,1.029578,0.776899,0.333943,1.639366,0.333943,1.678711,0.333943,0.790463,1.425426,1.234313,0.333943,0.539825,0.333943,0.5894,0.333943,0.511118,0.333943,1.076381,1,2.015034,1.071305,0.333943,1.245288,1.201394,0.5673,0.765676
35253,2-palmitoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5604,496.3,,,,,0.798568,0.056199,1.971092,0.983894,0.672503,1.846697,1.730152,0.306867,1.45887,1.115065,0.212998,0.038304,0.073756,1.849587,1.12193,1.139707,2.094458,1.048383,0.02491,0.0792,0.744826,1.648834,0.032952,1.016106,1.051023,0.219474,1.396683,1.78172
35688,2-palmitoylglycerophosphoethanolamine*,Lipid,Lysolipid,LC/MS Neg,5790,452.3,,,,,0.596139,0.380132,1.365526,0.380132,0.380132,0.380132,0.954996,0.632845,3.199541,0.468944,0.380132,0.881043,0.380132,1.268078,0.380132,0.380132,0.701941,1.024594,0.538281,0.849614,1.880883,2.509791,1.968256,1,1.063312,0.755543,0.380132,1.649843
35255,2-stearoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5780,524.4,,10208382,,,2.322348,0.321086,1.252364,0.61199,2.221241,1.02754,0.658898,0.321086,1.096557,0.895531,0.321086,0.321086,0.321086,6.118239,0.736559,0.535683,2.13318,0.829476,0.321086,5.258687,0.558233,1.837002,0.480026,1.282714,0.603846,0.321086,1,1.523076
37173,21-hydroxypregnenolone disulfate,Lipid,Sterol/Steroid,LC/MS Neg,3931,245.3,,134595,C05485,HMDB04026,1,0.549763,0.981737,3.90183,0.549763,0.549763,0.549763,0.788872,0.549763,0.771656,1.352284,1.415711,0.549763,0.763167,0.950834,0.549763,1.290513,2.833897,0.549763,0.839947,0.549763,0.549763,0.549763,1.446503,0.549763,1.968298,0.953082,0.90818
32197,3-(4-hydroxyphenyl)lactate,Amino acid,Phenylalanine & tyrosine metabolism,LC/MS Neg,1395,181.1,6482-98-0;,9378,C03672,HMDB00755,0.646879,0.687311,1.196034,0.809309,1.044469,1.195492,1.084801,1.487864,0.751703,1.029847,0.793687,1.453122,0.401124,1.053424,0.637414,0.533887,1.246579,0.73442,1.04532,0.612967,0.904546,1.526088,0.964075,1.057639,0.499664,1.722568,0.507809,0.985527
34365,3-(cystein-S-yl)acetaminophen*,Xenobiotics,Drug,LC/MS Pos,1960,271.2,,5233914,,,0.486998,0.486998,0.486998,1.509918,0.486998,1,0.486998,0.486998,0.486998,0.486998,0.486998,0.486998,2.645947,0.486998,0.486998,0.486998,0.486998,0.891335,0.486998,6.743179,0.486998,0.486998,0.486998,0.486998,0.486998,0.486998,0.696855,0.486998
31787,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty acid, dicarboxylate",LC/MS Neg,2815,239.1,86879-39-2;,123979,,,0.505208,2.373876,3.518638,5.134745,0.526808,3.088701,1.626146,0.07266,2.255277,0.63755,0.075837,2.389783,0.500945,0.937232,0.514339,2.320611,3.944017,4.922373,0.541004,3.092942,1.610742,0.043387,2.430381,0.608483,0.099479,2.26738,0.493551,1.062768
32654,3-dehydrocarnitine*,Lipid,Carnitine metabolism,LC/MS Pos,980,160.2,10457-99-5;,6991982,C02636,HMDB12154,0.728765,1.238879,1.053342,1.543428,0.800442,1.504939,1.105563,0.859126,0.997559,0.835618,0.847858,0.997518,0.845689,2.093564,0.869974,1.131681,0.978771,1.378469,0.669021,1.278931,1.405716,1.118431,0.889783,0.816215,0.873788,1.002441,0.827253,1.956865
542,3-hydroxybutyrate (BHBA),Lipid,Ketone bodies,GC/MS,1203.5,116.9,625-72-9;,441,C01089,HMDB00357,0.588527,0.675588,0.45975,0.912319,0.825461,0.866032,1.556961,0.94056,1.154959,0.864695,1.179404,0.627831,2.334492,1.097496,0.485737,3.402159,2.082576,12.658557,0.537971,1.265772,1.168963,0.58406,0.769075,4.090408,1.499789,1.186639,1.548611,1.05944
22001,3-hydroxyoctanoate,Lipid,"Fatty acid, monohydroxy",LC/MS Neg,3463,159.2,88930-08-9;,26613,,HMDB01954,0.58963,0.58963,0.58963,0.824921,0.998668,1.625181,4.005147,0.855213,0.722802,0.809017,0.58963,0.58963,1.334627,0.58963,0.989675,0.777739,2.058466,1.388173,0.58963,1.348975,2.156533,0.720752,1.396003,1.001331,1.109892,0.858254,0.58963,1.022588
27672,3-indoxyl sulfate,Amino acid,Tryptophan metabolism,LC/MS Neg,2258,212,2642-37-7;,10258,,HMDB00682,0.68102,0.71189,1.529875,2.061844,1.248816,1.940031,1.485048,0.823046,0.804991,0.659407,1.122677,1.568629,0.978284,0.722028,0.709724,0.590187,1.367479,1.498842,0.83433,2.231386,1.49251,0.579923,0.547901,0.582481,0.798886,1.686928,1.021716,0.703332
12017,3-methoxytyrosine,Amino acid,Phenylalanine & tyrosine metabolism,LC/MS Pos,1765,212.1,300-48-1;,9307,,HMDB01434,1.344151,0.778928,0.696358,1.488913,1.36431,0.635449,0.627794,0.68652,0.993865,1.142857,0.96722,1.006135,1.019866,1.287001,0.850195,0.649678,0.76066,1.038295,0.627794,1.202547,0.767913,0.947248,1.106616,1.035334,0.767998,0.91328,0.627794,1.293587
21047,3-methyl-2-oxobutyrate,Amino acid,"Valine, leucine and isoleucine metabolism",LC/MS Neg,1489,115.1,3715-29-5;,49,C00141,HMDB00019,0.789219,0.548709,1.137178,1.638678,1.45229,0.896448,1.381885,1.190693,0.790859,0.685081,0.785842,0.722912,1.036241,0.537122,0.695793,0.96605,1.43757,1.036043,1.063407,0.987763,1.012236,0.624406,0.802827,0.784525,1.019599,1.064977,1.044556,1.021095
15676,3-methyl-2-oxovalerate,Amino acid,"Valine, leucine and isoleucine metabolism",LC/MS Neg,2106,129.2,51829-07-3;,47,C00671,HMDB03736,0.922288,0.773937,1.513118,1.458636,1.18963,1.097933,1.549256,1.809474,0.993325,1.022784,1.233139,1.250804,0.976238,0.851298,0.95213,0.973213,1.282034,1.469907,0.818726,0.934767,0.946007,0.765865,0.911088,0.892209,0.930416,1.153917,1.098362,0.830918
15677,3-methylhistidine,Amino acid,Histidine metabolism,LC/MS Neg,911,168.1,368-16-1;,6.50E+11,C01152,HMDB00479,1.560702,0.241039,1.865459,1.636522,0.391372,1.39581,0.282116,0.392652,1.7226,0.26585,0.241039,0.257744,0.846093,1.821232,2.553088,0.241039,1.514106,1.318246,0.2871,1.153907,0.241039,0.246995,1.385079,0.26734,1.448471,0.241039,0.697901,1.351688
32445,3-methylxanthine,Xenobiotics,Xanthine metabolism,LC/MS Pos,1866,167.1,1076-22-8 ;,70639,C16357,HMDB01886,1.350725,0.928987,0.576285,0.453719,0.453719,0.453719,1.287105,5.385615,0.453719,0.845238,1.143702,0.81917,0.453719,1.373024,1,0.733762,0.453719,0.453719,0.453719,0.453719,0.678077,3.372498,0.453719,0.817306,0.453719,1.407188,0.453719,1.103804
15749,3-phenylpropionate (hydrocinnamate),Amino acid,Phenylalanine & tyrosine metabolism,LC/MS Neg,2830,149.1,501-52-0;,,C05629,HMDB00764,1.326885,2.013875,2.066216,0.463933,0.666209,0.581506,1,0.502994,0.463933,3.094348,1.9717,0.578246,0.796285,1.380762,0.984084,1.505368,2.126089,0.463933,0.489741,0.499518,0.609068,0.463933,0.463933,1.70053,2.245625,0.472946,0.463933,1.363964
1414,3-phosphoglycerate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",GC/MS,1756,299,80731-10-8;,,C00597,HMDB00807,0.425429,0.894637,1.61874,0.337471,1.105363,0.337471,0.624452,1.256578,0.843104,1.238241,0.755187,1.296698,0.619131,3.01286,0.337471,0.337471,0.337471,0.80134,1.182427,0.337471,0.337471,2.052042,0.489285,0.337471,0.337471,0.731616,0.655232,4.290718
1558,4-acetamidobutanoate,Amino acid,Guanidino and acetamido metabolism,LC/MS Pos,1724,146.1,3025-96-5;,18189,C02946,HMDB03681,0.799891,0.920194,1.034644,1.028288,0.808744,0.879084,0.942396,1.166252,1.139724,0.807582,1.059115,1.063444,0.782503,1.209261,0.910833,0.89423,1.158943,0.898369,0.714818,0.501797,1.227814,1.096467,0.971712,1.187073,1.05973,0.938398,0.83193,1.210413
12032,4-acetamidophenol,Xenobiotics,Drug,GC/MS,1626.1,206,103-90-2;,1983,C06804,HMDB01859,0.486517,0.486517,0.486517,0.971203,0.486517,1.028797,0.486517,0.486517,0.486517,0.486517,0.486517,0.486517,1.389397,0.486517,0.486517,0.486517,0.486517,0.486517,0.486517,16.652102,0.486517,0.486517,0.486517,0.486517,0.486517,0.486517,0.717211,0.486517
37475,4-acetaminophen sulfate,Xenobiotics,Drug,LC/MS Neg,1779,230.1,10066-90-7;32113-41-0;,83939,C06804,HMDB01859,0.037017,0.037017,0.037017,1.139368,0.037017,1,0.037017,0.037017,0.037017,0.037017,0.037017,0.037017,1.143399,0.037017,0.037017,0.037017,0.037017,0.512946,0.037017,8.457257,0.037017,0.037017,0.037017,0.037017,0.037017,0.037017,0.460958,0.037017
37202,"4-androsten-3beta,17beta-diol disulfate 1*",Lipid,Sterol/Steroid,LC/MS Neg,3735,224.3,,,,HMDB03818,1.7244,0.393934,3.97847,2.136493,0.396968,1.185076,2.069742,0.541114,0.549005,2.032716,0.879682,1.03101,0.712624,0.334298,1.764459,0.371057,4.191225,2.011602,0.428859,1.145604,2.227799,0.473613,0.530502,2.139391,0.932219,0.978122,0.710079,0.406365
